Epoch:0, Duration:23.754389, Train_Cost:0.784713, Valid_Cost:0.538777, Test_Cost:0.490717
Epoch:1, Duration:22.400068, Train_Cost:0.685700, Valid_Cost:0.539148, Test_Cost:0.515070
Epoch:2, Duration:24.114023, Train_Cost:0.636841, Valid_Cost:0.507182, Test_Cost:0.456980
Epoch:3, Duration:21.657903, Train_Cost:0.603984, Valid_Cost:0.494347, Test_Cost:0.445492
Epoch:4, Duration:21.297154, Train_Cost:0.569298, Valid_Cost:0.461290, Test_Cost:0.432805
Epoch:5, Duration:21.424875, Train_Cost:0.509969, Valid_Cost:0.464642, Test_Cost:0.437525
Epoch:6, Duration:20.611268, Train_Cost:0.484526, Valid_Cost:0.423209, Test_Cost:0.439541
Epoch:7, Duration:24.103499, Train_Cost:0.426572, Valid_Cost:0.342729, Test_Cost:0.370144
Epoch:8, Duration:20.968807, Train_Cost:0.366369, Valid_Cost:0.294607, Test_Cost:0.332115
Epoch:9, Duration:20.284317, Train_Cost:0.323744, Valid_Cost:0.271651, Test_Cost:0.303573
Epoch:10, Duration:20.202899, Train_Cost:0.296520, Valid_Cost:0.254707, Test_Cost:0.277187
Epoch:11, Duration:21.227090, Train_Cost:0.280876, Valid_Cost:0.243347, Test_Cost:0.258235
Epoch:12, Duration:25.615794, Train_Cost:0.269534, Valid_Cost:0.239722, Test_Cost:0.249193
Epoch:13, Duration:24.506308, Train_Cost:0.255547, Valid_Cost:0.232129, Test_Cost:0.237623
Epoch:14, Duration:22.821454, Train_Cost:0.242240, Valid_Cost:0.225841, Test_Cost:0.228340
Epoch:15, Duration:22.881023, Train_Cost:0.236104, Valid_Cost:0.229303, Test_Cost:0.230188
Epoch:16, Duration:23.401586, Train_Cost:0.226666, Valid_Cost:0.228029, Test_Cost:0.228477
Epoch:17, Duration:23.300579, Train_Cost:0.230322, Valid_Cost:0.220313, Test_Cost:0.218147
Epoch:18, Duration:20.789305, Train_Cost:0.229650, Valid_Cost:0.221472, Test_Cost:0.220532
Epoch:19, Duration:22.970740, Train_Cost:0.219363, Valid_Cost:0.216511, Test_Cost:0.213183
Epoch:20, Duration:23.489501, Train_Cost:0.216842, Valid_Cost:0.223627, Test_Cost:0.221215
Epoch:21, Duration:21.748169, Train_Cost:0.209577, Valid_Cost:0.216159, Test_Cost:0.212163
Epoch:22, Duration:20.782555, Train_Cost:0.209832, Valid_Cost:0.216916, Test_Cost:0.214102
Epoch:23, Duration:22.347401, Train_Cost:0.205629, Valid_Cost:0.208051, Test_Cost:0.202588
Epoch:24, Duration:22.862605, Train_Cost:0.208760, Valid_Cost:0.216207, Test_Cost:0.210405
Epoch:25, Duration:24.912048, Train_Cost:0.207187, Valid_Cost:0.212569, Test_Cost:0.208314
Epoch:26, Duration:22.225828, Train_Cost:0.201025, Valid_Cost:0.207468, Test_Cost:0.202215
Epoch:27, Duration:22.442319, Train_Cost:0.197564, Valid_Cost:0.205629, Test_Cost:0.201205
Epoch:28, Duration:22.295245, Train_Cost:0.196415, Valid_Cost:0.205937, Test_Cost:0.202682
Epoch:29, Duration:20.980962, Train_Cost:0.205228, Valid_Cost:0.214465, Test_Cost:0.211308
Epoch:30, Duration:22.006215, Train_Cost:0.196492, Valid_Cost:0.217400, Test_Cost:0.209410
Epoch:31, Duration:20.242651, Train_Cost:0.195007, Valid_Cost:0.218327, Test_Cost:0.210850
Epoch:32, Duration:19.970965, Train_Cost:0.193574, Valid_Cost:0.207164, Test_Cost:0.200638
Epoch:33, Duration:20.596987, Train_Cost:0.191042, Valid_Cost:0.213976, Test_Cost:0.208919
Epoch:34, Duration:20.234954, Train_Cost:0.187272, Valid_Cost:0.232108, Test_Cost:0.226650
Epoch:35, Duration:20.678780, Train_Cost:0.188920, Valid_Cost:0.204581, Test_Cost:0.198894
Epoch:36, Duration:22.976033, Train_Cost:0.189753, Valid_Cost:0.202657, Test_Cost:0.197610
Epoch:37, Duration:23.080847, Train_Cost:0.188521, Valid_Cost:0.203522, Test_Cost:0.195501
Epoch:38, Duration:25.794214, Train_Cost:0.188824, Valid_Cost:0.207055, Test_Cost:0.197145
Epoch:39, Duration:32.082565, Train_Cost:0.183930, Valid_Cost:0.200449, Test_Cost:0.192080
Epoch:40, Duration:23.750292, Train_Cost:0.185577, Valid_Cost:0.202692, Test_Cost:0.193348
Epoch:41, Duration:23.628408, Train_Cost:0.186720, Valid_Cost:0.202347, Test_Cost:0.193088
Epoch:42, Duration:20.277869, Train_Cost:0.185462, Valid_Cost:0.204186, Test_Cost:0.196945
Epoch:43, Duration:22.576152, Train_Cost:0.179788, Valid_Cost:0.223020, Test_Cost:0.211797
Epoch:44, Duration:21.311116, Train_Cost:0.179941, Valid_Cost:0.202332, Test_Cost:0.195305
Epoch:45, Duration:24.061788, Train_Cost:0.176975, Valid_Cost:0.202536, Test_Cost:0.196342
Epoch:46, Duration:22.992652, Train_Cost:0.174675, Valid_Cost:0.199315, Test_Cost:0.193900
Epoch:47, Duration:21.943833, Train_Cost:0.172196, Valid_Cost:0.200705, Test_Cost:0.190098
Epoch:48, Duration:20.802615, Train_Cost:0.172629, Valid_Cost:0.202051, Test_Cost:0.189927
Epoch:49, Duration:21.295802, Train_Cost:0.177275, Valid_Cost:0.202947, Test_Cost:0.192868
Best Epoch:46, Avg_Duration:22.454489, Train_Cost:0.174675, Valid_Cost:0.199315, Test_Cost:0.193900
