Epoch:0, Duration:17.287269, Train_Cost:0.662321, Valid_Cost:0.636821, Test_Cost:0.536823
Epoch:1, Duration:17.335366, Train_Cost:0.604512, Valid_Cost:0.561250, Test_Cost:0.489141
Epoch:2, Duration:16.614221, Train_Cost:0.538875, Valid_Cost:0.603596, Test_Cost:0.518845
Epoch:3, Duration:15.920038, Train_Cost:0.537288, Valid_Cost:0.495309, Test_Cost:0.443951
Epoch:4, Duration:18.705502, Train_Cost:0.515189, Valid_Cost:0.536827, Test_Cost:0.471256
Epoch:5, Duration:16.558234, Train_Cost:0.493086, Valid_Cost:0.497783, Test_Cost:0.446395
Epoch:6, Duration:15.980328, Train_Cost:0.475686, Valid_Cost:0.456767, Test_Cost:0.423540
Epoch:7, Duration:18.515242, Train_Cost:0.454864, Valid_Cost:0.488489, Test_Cost:0.457546
Epoch:8, Duration:18.754523, Train_Cost:0.430052, Valid_Cost:0.430078, Test_Cost:0.427433
Epoch:9, Duration:18.522086, Train_Cost:0.397962, Valid_Cost:0.368599, Test_Cost:0.394951
Epoch:10, Duration:16.942876, Train_Cost:0.349848, Valid_Cost:0.331538, Test_Cost:0.376720
Epoch:11, Duration:16.989296, Train_Cost:0.322832, Valid_Cost:0.302513, Test_Cost:0.351708
Epoch:12, Duration:17.090517, Train_Cost:0.293793, Valid_Cost:0.274625, Test_Cost:0.318807
Epoch:13, Duration:19.129335, Train_Cost:0.275772, Valid_Cost:0.292197, Test_Cost:0.327713
Epoch:14, Duration:16.550721, Train_Cost:0.263901, Valid_Cost:0.252244, Test_Cost:0.272563
Epoch:15, Duration:16.911450, Train_Cost:0.246347, Valid_Cost:0.252748, Test_Cost:0.264150
Epoch:16, Duration:19.281088, Train_Cost:0.240007, Valid_Cost:0.238926, Test_Cost:0.241915
Epoch:17, Duration:18.275005, Train_Cost:0.231301, Valid_Cost:0.245723, Test_Cost:0.245770
Epoch:18, Duration:18.799097, Train_Cost:0.229662, Valid_Cost:0.213096, Test_Cost:0.210772
Epoch:19, Duration:18.370007, Train_Cost:0.224896, Valid_Cost:0.234277, Test_Cost:0.231326
Epoch:20, Duration:19.310109, Train_Cost:0.224776, Valid_Cost:0.219144, Test_Cost:0.214028
Epoch:21, Duration:17.450000, Train_Cost:0.215110, Valid_Cost:0.230104, Test_Cost:0.225467
Epoch:22, Duration:15.697756, Train_Cost:0.215168, Valid_Cost:0.221490, Test_Cost:0.216720
Epoch:23, Duration:15.874680, Train_Cost:0.213519, Valid_Cost:0.226164, Test_Cost:0.218883
Epoch:24, Duration:16.187736, Train_Cost:0.210565, Valid_Cost:0.215930, Test_Cost:0.209815
Epoch:25, Duration:21.195098, Train_Cost:0.204428, Valid_Cost:0.216929, Test_Cost:0.208284
Epoch:26, Duration:19.003923, Train_Cost:0.206414, Valid_Cost:0.246005, Test_Cost:0.237891
Epoch:27, Duration:18.494920, Train_Cost:0.204964, Valid_Cost:0.230207, Test_Cost:0.222573
Epoch:28, Duration:15.925531, Train_Cost:0.205444, Valid_Cost:0.209204, Test_Cost:0.199101
Epoch:29, Duration:17.561163, Train_Cost:0.200478, Valid_Cost:0.205025, Test_Cost:0.194631
Epoch:30, Duration:16.927790, Train_Cost:0.199142, Valid_Cost:0.223362, Test_Cost:0.212608
Epoch:31, Duration:16.411234, Train_Cost:0.198483, Valid_Cost:0.210914, Test_Cost:0.201326
Epoch:32, Duration:15.656183, Train_Cost:0.202980, Valid_Cost:0.247873, Test_Cost:0.241576
Epoch:33, Duration:15.673369, Train_Cost:0.204066, Valid_Cost:0.216070, Test_Cost:0.206647
Epoch:34, Duration:15.756384, Train_Cost:0.198528, Valid_Cost:0.209662, Test_Cost:0.200488
Epoch:35, Duration:15.785694, Train_Cost:0.191486, Valid_Cost:0.240190, Test_Cost:0.230699
Epoch:36, Duration:16.073035, Train_Cost:0.192457, Valid_Cost:0.205523, Test_Cost:0.192631
Epoch:37, Duration:16.091696, Train_Cost:0.197496, Valid_Cost:0.206359, Test_Cost:0.195508
Epoch:38, Duration:15.658061, Train_Cost:0.196256, Valid_Cost:0.231254, Test_Cost:0.220319
Epoch:39, Duration:16.073191, Train_Cost:0.191770, Valid_Cost:0.216639, Test_Cost:0.204832
Epoch:40, Duration:15.590303, Train_Cost:0.189969, Valid_Cost:0.205707, Test_Cost:0.193756
Epoch:41, Duration:16.495071, Train_Cost:0.187519, Valid_Cost:0.204824, Test_Cost:0.194500
Epoch:42, Duration:16.176049, Train_Cost:0.183560, Valid_Cost:0.208796, Test_Cost:0.196807
Epoch:43, Duration:15.746189, Train_Cost:0.194371, Valid_Cost:0.199252, Test_Cost:0.185539
Epoch:44, Duration:15.672284, Train_Cost:0.181178, Valid_Cost:0.227720, Test_Cost:0.217461
Epoch:45, Duration:15.566545, Train_Cost:0.179788, Valid_Cost:0.241340, Test_Cost:0.231758
Epoch:46, Duration:15.526505, Train_Cost:0.183807, Valid_Cost:0.233404, Test_Cost:0.225252
Epoch:47, Duration:15.935409, Train_Cost:0.186357, Valid_Cost:0.200336, Test_Cost:0.188372
Epoch:48, Duration:15.784242, Train_Cost:0.178374, Valid_Cost:0.216386, Test_Cost:0.204290
Epoch:49, Duration:15.300779, Train_Cost:0.181452, Valid_Cost:0.207646, Test_Cost:0.195774
Best Epoch:43, Avg_Duration:16.942663, Train_Cost:0.194371, Valid_Cost:0.199252, Test_Cost:0.185539
